HI91,pc_counter,sys_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,roll,pitch,yaw,pps_sync_stamp,incli_x,incli_y,quat_w,quat_x,quat_y,quat_z,temperature,pressure,acc_norm,gyr_norm,mag_norm
HI91,95488,10412,0.0002655029239,0.004083252046,0.9972472787,0.002842717338,0.03159366548,0.01681664959,-10.97500038,-3.208333492,-35.41666794,0.01669629849,0.1477531195,1.154072523,2.22,0.01669629849,0.1477531195,0.9999485016,0.001287885359,0.0001586845465,0.01007141825,32,103753.9375,0.9972556735,0.03590320938,37.21672212
HI91,95489,10422,0.0004211425257,0.003854369977,0.9978150129,0.03488717228,0.05448193103,-0.006071534008,-10.97500038,-3.208333492,-35.41666794,0.01671277545,0.147516802,1.154072523,2.23,0.01671277545,0.147516802,0.9999485016,0.001285821549,0.0001588075538,0.01007141825,32,103753.9375,0.9978225461,0.06497891292,37.21672212
HI91,95490,10432,0.001263427781,0.003057861468,0.9987304211,0.03335979581,0.06058514118,-0.02133032493,-10.45833397,-2.666666746,-35.375,0.0165028926,0.147515744,1.154073119,2.24,0.0165028926,0.147515744,0.9999485016,0.001285830862,0.0001569759479,0.01007142104,32,103753.9375,0.9987359014,0.07237691669,36.9848413
HI91,95491,10442,0.00118103018,0.002783203032,0.9988494515,-0.03835806996,0.04074711353,-0.03811499104,-10.85000038,-2.666666746,-35.20833588,0.01654699072,0.147424534,1.154073,2.25,0.01654699072,0.147424534,0.9999485016,0.001285030972,0.0001573527406,0.01007142011,32,103753.9375,0.9988540273,0.06770835497,36.93860494
HI91,95492,10452,0.0004119873047,0.003067016602,0.9978423715,-0.06429846585,0.01022856124,-0.05032201856,-10.54166698,-2.808333397,-35.29166794,0.01647300459,0.147524178,1.154073119,2.26,0.01647300459,0.147524178,0.9999485016,0.001285906998,0.0001567158761,0.01007142104,32,103753.8516,0.99784717,0.0822874336,36.9393463
HI91,95493,10462,0.0001922607626,0.003643798642,0.9985473752,-0.02920213155,-0.0431772396,-0.01675268263,-10.89166737,-2.891666889,-35.20833588,0.01658094861,0.1477326304,1.154072881,2.27,0.01658094861,0.1477326304,0.9999485016,0.001287716674,0.0001576761424,0.01007142011,32,103753.8594,0.998554042,0.05475117242,36.96778423
HI91,95494,10472,0.0002655029239,0.003350829706,0.9987305403,-0.004785629921,-0.01113328803,3.198899867e-05,-10.89166737,-2.891666889,-35.20833588,0.01656126976,0.1477586776,1.154072881,2.28,0.01656126976,0.1477586776,0.9999485016,0.001287945663,0.0001575067145,0.01007142011,32,103753.8594,0.9987361967,0.01211830762,36.96778423
HI91,95495,10482,0.001437378,0.002700805664,0.9980987906,0.03031055257,-0.0004532835737,-0.01675267704,-10.97500038,-3.250000238,-35.375,0.01612161472,0.1476570368,1.154074073,2.29,0.01612161472,0.1476570368,0.9999485016,0.001287097111,0.0001536611962,0.01007142477,32,103753.8594,0.9981034798,0.03463505812,37.18069069
HI91,95496,10492,0.001400756883,0.002746582031,0.9983733892,0.03030967154,-0.04165630415,-0.03811497241,-10.80833435,-3.475000143,-35.41666794,0.01602965593,0.1476193517,1.154074192,2.3,0.01602965593,0.1476193517,0.9999485016,0.001286776387,0.000152855413,0.0100714257,32,103753.8594,0.9983781499,0.06408334406,37.19188198
HI91,95497,10502,0.0005859375233,0.003359985538,0.9980072379,-0.001734069781,-0.02334894426,-0.02590793371,-10.80833435,-3.433333397,-35.41666794,0.01601096243,0.1477830112,1.154074192,2.31,0.01601096243,0.1477830112,0.9999485016,0.001288206317,0.0001527066779,0.0100714257,32,103753.8594,0.9980130659,0.03491992591,37.18801201
